,neg,neu,pos,compound,headline
24,0.45,0.55,0.0,-0.7783,"Hit hard by the virus and lack of demand, India's trucking industry now battles shortage of drivers"
25,0.403,0.597,0.0,-0.4019,Logistics & Trucking: Runnning Big Losses
26,0.0,1.0,0.0,0.0,Covid-19 update: Trucks ferrying essential goods stranded on highways as India locks down
27,0.0,1.0,0.0,0.0,All you wanted to know about CV scrappage policy
28,0.0,1.0,0.0,0.0,Govt considering insurance scheme for truck drivers: Gen (Retd) VK Singh
29,0.156,0.638,0.206,0.1779,"Coronavirus lockdown: With no food or hope, truckers stranded across India"
30,0.0,1.0,0.0,0.0,Indian supply chains descend into 'chaos' as the lockdown goes nationwide
31,0.0,1.0,0.0,0.0,"DICV: DICV to launch 42 newbies in 2020; dedicates 2 engine options for BS-VI range, Auto News, ET Auto"
32,0.0,1.0,0.0,0.0,"Ashok Leyland AVTR trucks: Ashok Leyland delivers its modular AVTR trucks, Auto News, ET Auto"
33,0.0,1.0,0.0,0.0,"Online booking, wearing masks must to board Haryana transport buses plying from Friday, Auto News, ET Auto"
34,0.0,0.588,0.412,0.6808,Improvement in cargo flow will drive growth of used-truck market
35,0.0,1.0,0.0,0.0,"Electric Truck platform: Bollinger Motors reveals its electric truck platform, Auto News, ET Auto"
36,0.0,1.0,0.0,0.0,"Ashok Leyland sales: Ashok Leyland February sales dip 37% at 11,475 units, Auto News, ET Auto"
37,0.0,0.903,0.097,0.128,"DICV warranty extension: DICV extends warranty, service period by two months, Auto News, ET Auto"
38,0.0,0.929,0.071,0.0772,"trucks: Amend law to provide mandatory sleeping births in trucks: MP to Nitin Gadkari, Auto News, ET Auto"
39,0.0,0.886,0.114,0.4019,"truck operations resumption: To help drivers, road ministry launches dashboard with list of dhabas and truck repair shops, Auto News, ET Auto"
40,0.0,1.0,0.0,0.0,"road tax: Odisha government announces exemption of road tax for passenger buses, Auto News, ET Auto"
41,0.0,1.0,0.0,0.0,Road Ministry proposes further steps to up the use of FASTags
42,0.0,0.881,0.119,0.3182,"Tata Motors Fleet Edge: Tata Motors introduces next-gen connected vehicle solution for fleet management, Auto News, ET Auto"
43,0.0,1.0,0.0,0.0,Corona-update: McCain Foods UK furloughs staff of several factories
44,0.0,1.0,0.0,0.0,"US states: 15 US states to jointly work to advance electric heavy-duty trucks, Auto News, ET Auto"
45,0.154,0.846,0.0,-0.4767,"Luxury Volvo bus: Tejashwi's 'hi-tech', luxury bus owned by a poor, BPL card holder: Minister, Auto News, ET Auto"
46,0.0,1.0,0.0,0.0,"migrant workers: Roadways buses to transport migrant workers stranded in Rajasthan, Auto News, ET Auto"
47,0.0,1.0,0.0,0.0,"Navistar Springfield plant: Coronavirus: Navistar suspends production at Springfield assembly plant for two weeks, Auto News, ET Auto"
48,0.0,0.847,0.153,0.4019,"Private bus operators: Bengal bus operators seek financial help from Nitin Gadkari, Auto News, ET Auto"
49,0.0,1.0,0.0,0.0,"Daimler India Commercial Vehicles: Daimler India Commercial Vehicles resumes plant operations, Auto News, ET Auto"
50,0.0,1.0,0.0,0.0,"bus services: Over 11,000 travel by MSRTC buses after services restart, Auto News, ET Auto"
51,0.0,1.0,0.0,0.0,"KSRTC: KSRTC long distance inter-dist services from August 1 put on hold, Auto News, ET Auto"
52,0.099,0.901,0.0,-0.3182,"all india motor transport congress: Unbridled hike in fuel prices may force transporters to suspend operations, says AIMTC, Auto News, ET Auto"
53,0.0,1.0,0.0,0.0,"BMTC bus services: Bengaluru city buses to run for govt, company staff, Auto News, ET Auto"
54,0.0,1.0,0.0,0.0,"trucking industry: Pushed to wall, may take vehicles off the road: Transporters, Auto News, ET Auto"
55,0.0,0.844,0.156,0.5719,"Ashok Leyland Optare: Ashok Leyland division Optare wins another order for electric double decker buses in London, Auto News, ET Auto"
56,0.0,1.0,0.0,0.0,"fuel cell truck: Toyota and Hino to jointly develop fuel cell truck, Auto News, ET Auto"
57,0.271,0.729,0.0,-0.6369,"Truckers: Only 20% of trucks plying on NHs, truckers complain of problems, Auto News, ET Auto"
58,0.0,1.0,0.0,0.0,"ashok leyland: Re-examining biz, operating models: Ashok Leyland chairman, Auto News, ET Auto"
59,0.13,0.87,0.0,-0.34,"BMTC bus: BMTC prepares for bus operation in calibrated manner to combat COVID-19, Auto News, ET Auto"
60,0.0,0.821,0.179,0.34,"Force Motors unveils next gen shared mobility platform, Auto News, ET Auto"
61,0.151,0.849,0.0,-0.4939,"CNH Industrial: Corona scare: CNH Industrial halts most European plants due to virus-related supply constraints, Auto News, ET Auto"
62,0.0,1.0,0.0,0.0,"Wuhan: Coronaviorus: Wuhan buses hit road after two-month lockdown, Auto News, ET Auto"
63,0.0,1.0,0.0,0.0,"AIMTC: Lockdown extension: Renewed concern among transporters regarding sustenance: AIMTC, Auto News, ET Auto"
64,0.0,1.0,0.0,0.0,"Volvo Buses: Volvo Buses delivers 55 coaches to KSRTC, Auto News, ET Auto"
65,0.123,0.877,0.0,-0.2732,"CV production: Global CV production to drop 22% in 2020: IHS Markit, Auto News, ET Auto"
66,0.0,1.0,0.0,0.0,"Ashok Leyland July 2020 sales: Ashok Leyland CV sales down by 56% in July, Auto News, ET Auto"
67,0.0,1.0,0.0,0.0,"fuel cell vehicle: NTPC launches Hydrogen Fuel bus and car project for Leh and New Delhi, Auto News, ET Auto"
68,0.0,1.0,0.0,0.0,Two-third of trucks out of business
69,0.0,0.859,0.141,0.4215,"DTC: Delhi transport minister reviews installation of safety features in DTC and cluster buses, Auto News, ET Auto"
70,0.119,0.757,0.124,0.0258,"Tesla cybertruck replica: Bosnian Tesla fan impatient for Cybertruck release builds a lookalike, Auto News, ET Auto"
71,0.115,0.885,0.0,-0.296,"big truck crashes: Study claims electronics could stop 40% of big truck rear crashes, Auto News, ET Auto"
72,0.0,0.645,0.355,0.6705,"Truckers seek govt intervention to help stranded drivers, for safety of goods"
73,0.0,0.795,0.205,0.4767,"Lockdown extension: AIMTC seeks proper implementation of revised guidelines for truckers, labourers'' relief"
74,0.153,0.847,0.0,-0.2023,Coronavirus Lockdown: Truck Rentals Jump As Drivers Ply Back Empty Trucks
75,0.0,1.0,0.0,0.0,"Madhya Pradesh Bus Operations: Bus operations resume in MP after govt announces tax waiver, Auto News, ET Auto"
76,0.145,0.692,0.164,0.0772,Insurance cover for truck drivers risking life during coronavirus to ensure essential supply?
77,0.0,1.0,0.0,0.0,A more rational tax classification of vehicles can drive up auto sales
78,0.0,1.0,0.0,0.0,Agri products: Govt distribution policy a breather to trucking industry
79,0.0,1.0,0.0,0.0,"Passenger trains to halt, goods trains to continue plying: Railways"
80,0.323,0.677,0.0,-0.5106,"Transport sector body seeks lower fuel charges, insurance premium, tyre costs"
81,0.0,1.0,0.0,0.0,"Less than 6% truck drivers on duty, transport sector seeks insurance cover for drivers"
82,0.0,0.72,0.28,0.3597,"Top headlines: Made in India iPhone, more defence import embargoes, & more"
83,0.2,0.8,0.0,-0.25,"Idling trucks, staff shortage: Bottlenecks for industries amid lockdown"
84,0.384,0.616,0.0,-0.7269,"No money to bring trucks back on road, pay EMIs: The lockdown burden could crush many transporters"
85,0.0,0.748,0.252,0.4019,States move to help migrant workers amid Covid-19 lockdown
86,0.0,1.0,0.0,0.0,State finances to take bigger hit than Centre's due to coronavirus lockdown
87,0.0,1.0,0.0,0.0,"Toll booths open to biz, but India's oldest highway wears deserted look"
88,0.0,0.833,0.167,0.2023,"Top headlines: Nationwide lockdown, Flipkart halts new orders, and more"
89,0.143,0.857,0.0,-0.128,"Transporters demand reduction in fuel prices, Auto News, ET Auto"
90,0.224,0.776,0.0,-0.3818,Stock markets snap two-day losing streak; Sensex up 192 points
91,0.0,1.0,0.0,0.0,Impact of COVID 19 on Indian Economy and Road Ahead for Corporate Sector
